Birdwatcher,Day,Magpies
Robert,Weekday,1
Robert,Weekday,4
Robert,Weekday,1
Robert,Weekday,2
Robert,Weekend,NA
Robert,Weekday,2
Robert,Weekday,3
Robert,Weekend,1
Robert,Weekday,2
Robert,Weekend,NA
Robert,Weekend,1
Robert,Weekday,3
Robert,Weekday,3
Robert,Weekend,1
Robert,Weekend,NA
Robert,Weekday,2
Robert,Weekend,1
Robert,Weekday,2
Robert,Weekday,1
Robert,Weekend,NA
Robert,Weekday,1
Robert,Weekend,1
Robert,Weekday,1
Robert,Weekday,4
Robert,Weekend,NA
Catherine,Weekday,1
Catherine,Weekday,1
Catherine,Weekend,1
Catherine,Weekday,2
Catherine,Weekday,2
Catherine,Weekend,6
Catherine,Weekday,1
Catherine,Weekday,1
Catherine,Weekend,2
Catherine,Weekday,1
Catherine,Weekday,1
Catherine,Weekend,2
Catherine,Weekday,4
Catherine,Weekday,1
Catherine,Weekend,1
Catherine,Weekday,1
Catherine,Weekday,1
Catherine,Weekend,1
Catherine,Weekday,1
Catherine,Weekday,1